[2026-05-10 15:24:09] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 15:27:06] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 15:27:06] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 15:28:23] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:29:39] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 15:29:39] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 15:29:47] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:30:12] [INFO] [ProcessInstanceController] Creating ProcessInstance for model id=4 | action=create
[2026-05-10 15:30:12] [INFO] [ProcessInstanceController] Created ProcessInstance id=5 with 3 tasks for model Test 1 | action=create
[2026-05-10 15:34:39] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 15:34:39] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 15:35:04] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:35:18] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:35:18] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:35:20] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:35:20] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:35:24] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:35:24] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:35:26] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:35:26] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:35:28] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:35:28] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:36:54] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:38:07] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:38:28] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:38:40] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:38:40] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:38:42] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:38:42] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:38:55] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:38:55] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 21:33:26] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 21:33:27] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 21:33:46] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:34:34] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 21:34:34] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 21:34:36] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 21:34:36] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 21:35:32] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:38:26] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 21:38:26] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 21:38:30] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:40:18] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:41:52] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:43:01] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 21:43:26] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 21:43:26] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 21:48:26] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 21:48:26] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
